LeiOfEntityWhichSubmittedTheOrder,DirectElectronicAccess,ClientIdentificationCode,InvestmentDecisionWithinFirm,ExecutionWithinFirm,NonExecutingBroker,TradingCapacity,LiquidityProvisionActivity,DateAndTime,ValidityPeriod,OrderRestriction,ValidityPeriodDateAndTime,MicCode,FinancialInstrumentsIdentificationCode,DateOfReceipt,OrderIdentificationCode,Lifecycle,OrderType,OrderTypeClassification,LimitPrice,AdditionalLimitPrice,StopPrice,PeggedLimitPrice,PriceCurrency,CurrencyOfLeg2,PriceNotation,BuySellIndicator,OrderStatus,QuantityNotation,QuantityCurrency,InitialQuantity,RemainingQuantityIncludingHidden,DisplayedQuantity,TradedQuantity,MinimumAcceptableQuantity,MinimumExecutableSize,MesFirstExecutionOnly,PassiveOnlyIndicator,SelfExecutionPrevention,StrategyLinkedOrder,RoutingStrategy,InstrumentFullName,UnderlyingInstrumentCode,InstrumentClassification,SRDTaxonomy,SequenceNumber,PassiveOrAggressiveIndicator,PriorityTimeStamp,OrderBookCode,TradingPhases,
,false,,100091,100091,,DEAL,false,2020-10-28T12:01:55.265073Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZSTVTZYM6B5,2020-10-28,102MOLM6BOBUY,NEWO,Limit,LMTO,0.39732,,,,,,PERC,BUYI,ACTI,MONE,GBP,15000000,15000000,15000000,0,,,,,true,,,,,SRCCSP,InterestRate:IRSwap:FixedFloat,37,,,VEZSTVTZYM6B5,,
1VUV7VQFKUOQSJ21A208,false,208298,,,,DEAL,,2020-10-28T07:53:37.912185Z,IOCV,VFCR,,XOFF,EZ91WZD7WC90,2020-10-28,2020102801000000000000007754710F_1,FILL,Limit,LMTO,104.2,,,,,,BAPO,BUYI,,MONE,JPY,37000000000,0,0,37000000000,,0,true,false,true,,,FWD.JPY.USD.1D,,JFTXFP,ForeignExchange:Forward,72,PASV,2020-10-28T07:53:37.912185Z,VXOFFf-8c5cd24d555b,Central Limit Order Book,
,false,,,,,DEAL,false,2020-10-28T09:13:00.714873Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZ8F1K6HZHR3,2020-10-28,102MNQ58BOSELL,FILL,Limit,LMTO,2.5,,,,USD,,MONE,SELL,,MONE,KRW,12000000,0,0,12000000,,,,,true,,,,,JFTXFC,ForeignExchange:NDF,4,,,VEZ8F1K6HZHR3,,
,false,,,,,DEAL,false,2020-10-28T10:44:16.57205Z,GTCV,VFCR,2020-10-28T23:59:59.999999Z,XOFF,EZVBMZPMB2Y3,2020-10-28,102MO8P6BOSELL,NEWO,Limit,LMTO,4.876,,,,RON,,MONE,SELL,ACTI,MONE,RON,80000000,80000000,80000000,0,,,,,true,,,,,JFTXFP,ForeignExchange:Forward,42,,,VEZVBMZPMB2Y3,,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T07:29:49.004684Z,GTCV,VFCR,2099-12-31T23:59:59Z,IOFI,FR0013321791,2020-10-28,47611124,CHME,Limit,LMTO,51,,,,,,BAPO,BUYI,ACTI,MONE,EUR,1000000,1000000,1000000,0,,1000000,true,false,true,,,SOCGEN FRN 03/06/23,,DBVOFB,FixedIncome:Bond:Corporate,30,,2020-10-28T07:29:49.004613Z,99IOFI-dae02e9fcfdd,Central Limit Order Book,
1VUV7VQFKUOQSJ21A208,false,127665,100118,100118,,DEAL,,2020-10-28T08:36:56.584771Z,IOCV,VFCR,,XOFF,,2020-10-28,11884004,NEWO,Limit,LMTO,103.24794521,,,,,,MONE,BUYI,ACTI,MONE,,13000000,13000000,13000000,0,,0,true,false,true,,,EIB 0.05 10/13/34 ON,XS2055781962,LRXXXX,MoneyMarket:Repo,1,,2020-10-28T08:36:56.584771Z,VXOFFb-c9ee384dd6b4,Central Limit Order Book,
1VUV7VQFKUOQSJ21A208,false,127665,100044,100044,,DEAL,,2020-10-28T13:13:01.014653Z,IOCV,VFCR,,XOFF,,2020-10-28,20201028045000000000000001727081_1,NEWO,Limit,LMTO,-0.00487,,,,,,PERC,BUYI,ACTI,MONE,EUR,1000000000,1000000000,1000000000,0,,0,true,false,true,,,3M EUR OIS Outright (EUR.3M.EONIA.OIS),,,InterestRate:IRSwap:FixedFloat:OIS,1,,2020-10-28T13:13:01.014653Z,VXOFF4-7216d3ec7799,Central Limit Order Book,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T07:29:48.888969Z,GTCV,VFCR,2099-12-31T23:59:59Z,IOFI,XS1681855539,2020-10-28,47603785,CHME,Limit,LMTO,38,,,,,,BAPO,SELL,ACTI,MONE,EUR,1000000,1000000,1000000,0,,1000000,true,false,true,,,HSBC FRN 10/05/23 YTW,,DTVNFB,FixedIncome:Bond:Corporate,72,,2020-10-28T07:29:48.888892Z,99IOFI-0dd387c834c8,Central Limit Order Book,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T07:29:55.469199Z,GTCV,VFCR,2099-12-31T23:59:59Z,IOFI,XS1586214956,2020-10-28,47603783,CHME,Limit,LMTO,32,,,,,,BAPO,BUYI,ACTI,MONE,EUR,1000000,1000000,1000000,0,,1000000,true,false,true,,,HSBC FRN 09/27/22 YTW,,DTVUFB,FixedIncome:Bond:Corporate,11,,2020-10-28T07:29:55.469146Z,99IOFI-cdecd8deda97,Central Limit Order Book,
1VUV7VQFKUOQSJ21A208,false,,,,,DEAL,,2020-10-28T07:49:49.775376Z,GTCV,VFCR,2099-12-31T23:59:59Z,IOFI,XS1823532996,2020-10-28,47651071,NEWO,Limit,LMTO,35,,,,,,BAPO,SELL,ACTI,MONE,EUR,1000000,1000000,1000000,0,,1000000,true,false,true,,,BNP FRN 05/22/23,,DTVUFB,FixedIncome:Bond:Corporate,22,,2020-10-28T07:49:49.775311Z,99IOFI-bdaf8f3c77af,Central Limit Order Book,
